PassengerId,AgeBucket,Imputed_Age,Imputed_Binned_Age
414,2,40,4
415,2,44,4
416,2,40,4
417,2,34,4
418,2,18,3
419,2,30,4
420,2,10,2
421,2,40,4
422,2,21,4
423,2,29,4
424,2,28,4
425,2,18,3
426,2,40,4
427,2,28,4
428,2,19,3
429,2,40,4
430,2,32,4
431,2,28,4
432,2,40,4
433,2,42,4
434,2,17,2
435,3,50,4
436,2,14,2
437,2,21,4
438,2,24,4
439,3,64,5
440,2,31,4
441,2,45,4
442,2,20,3
443,2,25,4
444,2,28,4
445,2,40,4
446,2,4,1
447,2,13,2
448,2,34,4
449,2,5,1
450,3,52,5
451,2,36,4
452,2,40,4
453,2,30,4
454,2,49,4
455,2,40,4
456,2,29,4
457,3,65,5
458,2,40,4
459,3,50,4
460,2,40,4
461,2,48,4
462,2,34,4
463,2,47,4
464,2,48,4
465,2,40,4
466,2,38,4
467,2,40,4
468,3,56,5
469,2,40,4
470,2,0.75,1
471,2,40,4
472,2,38,4
473,2,33,4
474,2,23,4
475,2,22,4
476,2,40,4
477,2,34,4
478,2,29,4
479,2,22,4
480,2,2,1
481,2,9,2
482,2,40,4
483,3,50,4
484,3,63,5
485,2,25,4
486,0,10,2
487,2,35,4
488,3,58,5
489,2,30,4
490,2,9,2
491,2,40,4
492,2,21,4
493,3,55,5
494,3,71,5
495,2,21,4
496,2,40,4
497,3,54,5
498,2,40,4
499,2,25,4
500,2,24,4
501,2,17,2
502,2,21,4
503,0,10,2
504,2,37,4
505,2,16,2
506,2,18,3
507,2,33,4
508,2,40,4
509,2,28,4
510,2,26,4
511,2,29,4
512,2,40,4
513,2,36,4
514,3,54,5
515,2,24,4
516,2,47,4
517,2,34,4
518,2,40,4
519,2,36,4
520,2,32,4
521,2,30,4
522,2,22,4
523,2,40,4
524,2,44,4
525,2,40,4
526,2,40.5,4
527,3,50,4
528,2,40,4
529,2,39,4
530,2,23,4
531,2,2,1
532,2,40,4
533,2,17,2
534,2,40,4
535,2,30,4
536,2,7,1
537,2,45,4
538,2,30,4
539,2,40,4
540,2,22,4
541,2,36,4
542,2,9,2
543,2,11,2
544,2,32,4
545,3,50,4
546,3,64,5
547,2,19,3
548,2,40,4
549,2,33,4
550,2,8,2
551,2,17,2
552,2,27,4
553,2,40,4
554,2,22,4
555,2,22,4
556,3,62,5
557,2,48,4
558,2,40,4
559,2,39,4
560,2,36,4
561,2,40,4
562,2,40,4
563,2,28,4
564,2,40,4
565,0,10,2
566,2,24,4
567,2,19,3
568,2,29,4
569,2,40,4
570,2,32,4
571,3,62,5
572,3,53,5
573,2,36,4
574,0,10,2
575,2,16,2
576,2,19,3
577,2,34,4
578,2,39,4
579,2,40,4
580,2,32,4
581,2,25,4
582,2,39,4
583,3,54,5
584,2,36,4
585,2,40,4
586,2,18,3
587,2,47,4
588,3,60,5
589,2,22,4
590,2,40,4
591,2,35,4
592,3,52,5
593,2,47,4
594,0,10,2
595,2,37,4
596,2,36,4
597,0,10,2
598,2,49,4
599,2,40,4
600,2,49,4
601,2,24,4
602,2,40,4
603,2,40,4
604,2,44,4
605,2,35,4
606,2,36,4
607,2,30,4
608,2,27,4
609,2,22,4
610,2,40,4
611,2,39,4
612,2,40,4
613,0,10,2
614,2,40,4
615,2,35,4
616,2,24,4
617,2,34,4
618,2,26,4
619,2,4,1
620,2,26,4
621,2,27,4
622,2,42,4
623,2,20,3
624,2,21,4
625,2,21,4
626,3,61,5
627,3,57,5
628,2,21,4
629,2,26,4
630,2,40,4
631,3,80,5
632,3,51,5
633,2,32,4
634,2,40,4
635,2,9,2
636,2,28,4
637,2,32,4
638,2,31,4
639,2,41,4
640,2,40,4
641,2,20,3
642,2,24,4
643,2,2,1
644,2,40,4
645,2,0.75,1
646,2,48,4
647,2,19,3
648,3,56,5
649,2,40,4
650,2,23,4
651,2,40,4
652,2,18,3
653,2,21,4
654,0,10,2
655,2,18,3
656,2,24,4
657,2,40,4
658,2,32,4
659,2,23,4
660,3,58,5
661,3,50,4
662,2,40,4
663,2,47,4
664,2,36,4
665,2,20,3
666,2,32,4
667,2,25,4
668,2,40,4
669,2,43,4
670,2,40,4
671,2,40,4
672,2,31,4
673,3,70,5
674,2,31,4
675,2,40,4
676,2,18,3
677,2,24.5,4
678,2,18,3
679,2,43,4
680,2,36,4
681,0,10,2
682,2,27,4
683,2,20,3
684,2,14,2
685,3,60,5
686,2,25,4
687,2,14,2
688,2,19,3
689,2,18,3
690,2,15,2
691,2,31,4
692,2,4,1
693,2,40,4
694,2,25,4
695,3,60,5
696,3,52,5
697,2,44,4
698,0,10,2
699,2,49,4
700,2,42,4
701,2,18,3
702,2,35,4
703,2,18,3
704,2,25,4
705,2,26,4
706,2,39,4
707,2,45,4
708,2,42,4
709,2,22,4
710,0,10,2
711,2,24,4
712,2,40,4
713,2,48,4
714,2,29,4
715,3,52,5
716,2,19,3
717,2,38,4
718,2,27,4
719,2,40,4
720,2,33,4
721,2,6,1
722,2,17,2
723,2,34,4
724,3,50,4
725,2,27,4
726,2,20,3
727,2,30,4
728,0,10,2
729,2,25,4
730,2,25,4
731,2,29,4
732,2,11,2
733,2,40,4
734,2,23,4
735,2,23,4
736,2,28.5,4
737,2,48,4
738,2,35,4
739,2,40,4
740,2,40,4
741,2,40,4
742,2,36,4
743,2,21,4
744,2,24,4
745,2,31,4
746,3,70,5
747,2,16,2
748,2,30,4
749,2,19,3
750,2,31,4
751,2,4,1
752,2,6,1
753,2,33,4
754,2,23,4
755,2,48,4
756,2,0.67,1
757,2,28,4
758,2,18,3
759,2,34,4
760,2,33,4
761,2,40,4
762,2,41,4
763,2,20,3
764,2,36,4
765,2,16,2
766,3,51,5
767,0,50,4
768,2,30.5,4
769,2,40,4
770,2,32,4
771,2,24,4
772,2,48,4
773,3,57,5
774,2,40,4
775,3,54,5
776,2,18,3
777,2,40,4
778,2,5,1
779,2,40,4
780,2,43,4
781,2,13,2
782,2,17,2
783,2,29,4
784,2,40,4
785,2,25,4
786,2,25,4
787,2,18,3
788,2,8,2
789,2,1,1
790,2,46,4
791,2,40,4
792,2,16,2
793,0,10,2
794,2,40,4
795,2,25,4
796,2,39,4
797,2,49,4
798,2,31,4
799,2,30,4
800,2,30,4
801,2,34,4
802,2,31,4
803,2,11,2
804,2,0.42,1
805,2,27,4
806,2,31,4
807,2,39,4
808,2,18,3
809,2,39,4
810,2,33,4
811,2,26,4
812,2,39,4
813,2,35,4
814,2,6,1
815,2,30.5,4
816,2,40,4
817,2,23,4
818,2,31,4
819,2,43,4
820,2,10,2
821,3,52,5
822,2,27,4
823,2,38,4
824,2,27,4
825,2,2,1
826,2,40,4
827,2,40,4
828,2,1,1
829,2,40,4
830,3,62,5
831,2,15,2
832,2,0.83,1
833,2,40,4
834,2,23,4
835,2,18,3
836,2,39,4
837,2,21,4
838,2,40,4
839,2,32,4
840,2,40,4
841,2,20,3
842,2,16,2
843,2,30,4
844,2,34.5,4
845,2,17,2
846,2,42,4
847,2,40,4
848,2,35,4
849,2,28,4
850,2,40,4
851,2,4,1
852,3,74,5
853,2,9,2
854,2,16,2
855,2,44,4
856,2,18,3
857,2,45,4
858,3,51,5
859,2,24,4
860,2,40,4
861,2,41,4
862,2,21,4
863,2,48,4
864,0,10,2
865,2,24,4
866,2,42,4
867,2,27,4
868,2,31,4
869,2,40,4
870,2,4,1
871,2,26,4
872,2,47,4
873,2,33,4
874,2,47,4
875,2,28,4
876,2,15,2
877,2,20,3
878,2,19,3
879,2,40,4
880,3,56,5
881,2,25,4
882,2,33,4
883,2,22,4
884,2,28,4
885,2,25,4
886,2,39,4
887,2,27,4
888,2,19,3
889,0,10,2
890,2,26,4
891,2,32,4
